,text,sentiment,pred
10,@DoroBaer @HBraun @joinClubhouse Einladung kommt per Fax,2,2
11,"@Tobiter2 @Joerg_Meuthen Das ist einfach falsch, es würde in „… jeder Rede …“ vorkommen.  Ich kenne die Reden von Herrn Meuthen im EU-Parlament.",1,1
12,@KuehniKev Es reicht aber leider nicht....,1,1
13,"@Causeyoureakek @SimonGortz @Markus_Soeder Oh bitte 🤦🏻‍♀️ sorry, wer sowas mittlerweile echt noch glaubt, dem ist einfach nicht mehr zu helfen  Tun Sie sich den Gefallen, und informieren sie sich mal, über die üblichen deutschen Medien hinaus, über dieses Thema.",1,1
14,"@17FK0 @MarionaMarione @Karl_Lauterbach Ja, aber man muss bei einzelnen Maßnahmen viel mehr Schaden/Nutzen Abwägung machen, wenn man entsprechende Bereiche für so einen langen Zeitraum schließt. Könnte man nicht z.B. Sportschwimmbäder z.T. öffnen? Oder draußen Sport mit mehreren zulassen?",2,2
15,Wieso darf Sophie eigentlich keinen Joint rauchen? (Gerne RT)  #MehrheitfuerLegalisierung  #Cannabislegalisierung   @spdde @spdbt @Die_Gruenen @GrueneBundestag @fdp @fdpbt,2,2
16,"62)  Wer wünscht sich vor allem einen harten Lockdown? Die, die Angst um ihr Leben haben. Dazu gehören auch sehr viele Kinder und junge Menschen. #Schattenfamilien  100 Tweets täglich für #LasstSchulenUndKitasZu und #NoCovid   @RegSprecher @Markus_Soeder @ArminLaschet",1,1
17,@33culture @tu63867122 @StBrandner Ist das jetzt also Deine „sachliche Antwort“?,2,2
18,"@Karl_Lauterbach Herr Lauterbach, was sagen sie dazu, das viele Kitas jetzt wieder öffnen und viele schulen die Abschlussklassen kommen lassen?   Das Vertrauen in die Politik vom Grossteil der  Menschen  hat sich nun.verabschiedet. Jedenfalls spüre ich das in mir sehr gewaltig !",1,1
19,@Karl_Lauterbach @DrFrenz Gehen Sie zu einem Arzt! BITTE! In meinen Augen sind Sie krank!,1,1
20,@Markus_Soeder @D4L123 Das ist ja auch das Schlimme: Man öffnet sehenden Auges...🤔,1,1
21,@phoenix_de @cducsubt @CDU @CSU Und für dieses Programm hat die CDU/CSU solange gebraucht? Zukunftsvisionen? Fehlanzeige!,1,1
22,"@KatjaSuding @fdp @fdpbt Den Bildungsförderalismus mit Kleinstaaterei gleichzusetzen, obwohl dieser die Unterschiede im Wettbewerb und damit Erfolge und auch Misserfolge aufzeigt, ist naiv in Anbetracht des absehbaren Gleichschrittes auf Niveau derer, die im Wettbewerb schlecht aussahen und aussehen.",1,1
23,"@Islieb @dieLinke Auf denen, die da draußen fröhlich Polonäse tanzten, während andere in völliger Isolation ihr Leben schützen und total vereinsamten, und die jetzt laut nach Solidarität schreien, hacke ich rum. Wobei ich das nicht rumhacken nennen würde. Ich habe einen unbändigen Zorn auf die!",1,1
24,"@Alice_Weidel Alles Gute, Frau Weidel!",0,0
25,"@pleasebenottrue @Cetonia__aurata @GirkeHanjo @KonstantinKuhle @c_lindner @fdp @fdpbt Nein, aber eine völlig unsinnige Privilegierung.",1,1
26,@HBraun @Markus_Soeder @jensspahn ? Warum geht das in anderen Ländern?,2,2
27,"@gsignstudios @AnnaWol72142016 @schwabe007 @BIDeutschland @Karl_Lauterbach dann beleg es mal in D sind 4 4 Kinder gestorben &amp; die hatten, Vor Erkrankungen damit willst du das nutzen Risiko recht fertigen ? weniger als 0,001% mussten im KH behandelt werden  0,00002 % sind mit oder an Corona verstorben. damit willst du das Experiment befürworten ?",1,1
28,@AnneWillTalk @OlafScholz @ABaerbock @Markus_Soeder @c_lindner @MelAmann @DasErste Gähn.,2,1
29,@docbrandenburg @Markus_Soeder Was für eine trottelige Aussage.,1,1
30,"@souzo1910 @AfDimBundestag @StBrandner Leider bist du schon gefangen im Hamsterrad, nur erkennst du es nicht.",1,1
31,@jensspahn @moritz_oppelt @SteffenBilger @MBiadaczMdB #Spahnmussweg  nur noch unerträglich dieser Mann .,1,1
32,@Karl_Lauterbach Auch von mir alles gut zum Geburtstag 🌹,0,0
33,@BachmannRudi @kuhnmo @ArminLaschet Nein.  Der kann nur Karneval.,2,2
34,"@KemmerichThL @Karl_Lauterbach Es geht nicht darum, dass Sport gesund ist, sondern dass das Risiko schwerer COVID-Erkrankungen dadurch wesentlich gesenkt wird. Und ja, das wusste man bisher nicht mit Sicherheit. Bitte künftig lesen, denken, twittern. (Oder es sein lassen.)",2,2
35,"@Engel_Re @PaulZiemiak @TKuban96 @jensspahn Der hat noch viele weitere Leichen im Keller. Wird er jemals zur Verantwortung gezogen werden? Alleine nur die FF2 Masken, die nichts mit dem Schutz vor dem Virus zu tun haben. Wie viele Menschen sind eigentlich durch unsichere FF2 Masken gestorben? 😠👹",1,1
36,@Markus_Soeder Macron für Arme. Peinlich.,1,1
37,"@ConstZerger @fdp @Wissing Würde es die hohen Subventionen für eAutomobile nicht geben, hätte die Technologie noch lange keine Chance gegen den Verbrenner. Die Marktverzerrung bietet erstmals die Chance für eAutomobile. Die FDP möchte  den technologieoffenen CO2 EU-Emissionshandel.",2,2
38,"@MarcoBuschmann Die Aufstellung mobiler Impfbrigaden ist jetzt oberstes Gebot! Versehen mit Lautsprecherbussen und Werbebannern könnten die durch die Straßen fahren und per Megaphon Ungeimpfte namentlich auffordern, ihre Gesundheit auf dem Altar des Vaterlandes zu opfern.",2,2
39,".@Karl_Lauterbach @spdbt stellt heraus, dass die Delta-Variante des Coronavirus deutlich ansteckender als bisherige Varianten ist. #unterdenlinden mit dem Thema: „#Corona-Sommer 21 – Sind wir für den Herbst diesmal gewappnet?“ jetzt ansehen 📲 https://t.co/EzKxI0WAo0  https://t.co/oK1Gnat8ON",2,2
40,"@MatzeMighty @Dankre16 @RotesSteinhaus @SBachTax @CDU @CSU Das ist ein üblicher Irrtum, man stellt Arbeitnehmer ein um an ihnen zu verdienen, sie sind UNS ( ich war auch Unternehmer) völlig egal, wenn es was bringt sind sie draußen und wenns geht, erpressen wir sie, weil sie Arbeiten müssen, wir unsere Schäfchen aber im trockenen haben",1,1
41,@Karl_Lauterbach Geschlossen zurücktreten.,1,1
42,"@Erwinduesenberg @Karl_Lauterbach Ich schränke mich weder ein, noch bezahle ich diesen Ökoterrorismus!",1,1
43,"@StBrandner Ihr Leben ist ganz schön langweilig, ja? Warum tweeten Sie so viel Müll? #AfDm8dumm  #AfDindenLockdownJETZT  https://t.co/Zah8TlZZP2",1,1
44,"@CDU @Hallaschka_HH @jensspahn Wenn sie nicht dabei sind, gern! Außerdem haben sie einen großen Anteil mit zu verantworten bei dieser Wahl, Maskendeals!",1,1
45,@StBrandner Und warum hat die AfD bei der Wahl in Thüringen ihren Kandidaten im 3. Wahlgang fallen lassen?,2,2
46,@Markus_Soeder @FCBayern Herzlichen Glückwunsch,0,0
47,@polenz_r @berndulrich @cem_oezdemir Von der Forderung her.,2,2
48,@DietmarBartsch @dieLinke Wunschdenken und Größenwahn eines Kleingeistes.,1,1
49,"@spdde @LadyBitchRay1 Besser ist, sich von der @spdde Konstruktion zu trennen.",2,1
50,@berlinerzeitung @Ricarda_Lang @diegruenen Eine Karriere in der Kalorienaufnahme vielleicht. Sonst eher nichts. Eine Karriere basiert auf Können. Sie aber plappert nur dummes Zeugs.,1,1
51,"@JM_Luczak @jensspahn @cducsubt @csu_bt @CDU @CSU Naja, stimmt nicht ganz. Die @EU_Commission hat zu spät zu wenig von den richtigen Impfstoffen bestellt. Ohne Spahn hätte sie womöglich noch später und noch weniger bestellt...",1,1
52,"@Varanas65464810 @sascha_m_k @ABaerbock @ArminLaschet @OlafScholz @Umwelthilfe Finde die Grünen (auf Bundesebene) stellen sich den Realitäten , national sowie international. Wie gesagt de cdu hätte die Chance in einer Koalition mit den Grünen sich zu ändern, ohne dabei Fundamente in Deutschland zu zerstören.",2,0
53,"@Karl_Lauterbach Oh mein Gott ,289 Todesfälle.  Was ist mit den anderen 2200 toten pro Tag?",2,1
54,"@BPsteinmueller @cducsubt @CDU @CSU B.Stechung steht zur Aufklärung aus Selbstkontrahierungsgründen und Überarbeitung nicht zur Verfügung . Momentan liegen zuviele Einladungen vor und er muß Spendenbescheinigungen über 9,999 Euro genehmigen.  Natürlich alle im Original mit dem Bundesadler",2,2
55,"@JoanaCotar @Ganymed_62 @marceselvis Ich kann es nicht nachvollziehen. Mit dieser Aussage machen auch Sie sich unwählbar, was ist mit der AfD kurz vor der Wahl los?",1,1
56,"@HBraun Bitte auch gleich mit dem Rauchen, Alkohol, Rasen, Fast Food und ungeschützten Geschlechtsverkehr aufhören.",2,2
57,"@Ralf_Stegner @Karl_Lauterbach ""Völlige Verblendung Wie verblendet, muss man eigentlich sein, um all den hirnverbrannten Regime-bullshit zu glauben, der uns aufgetischt wird oder ihm sogar noch als Erfüllungsgehilfe oder Mitläufer zur Seite zur stehen, ihn zu decken, ihn zu stützen?""  https://t.co/Afk2nwX8U9",1,1
58,"@ArminLaschet @EmmanuelMacron @JeanCASTEX @BrunoLeMaire Was war da los?  Sie tragen ja Maske in einem Bild!  Passen Sie auf, sonst verscherzen Sie es sich noch mit ihren neuen Querdenker-Freunden!",1,1
59,@DarkspiderGn @Josef94352070 @systemtroll @AfDimBundestag @GottfriedCurio Jetzt nimmer antworten? Typisch AfD!,1,1
60,@Letustalk9 @HendrikSchmitz @ArminLaschet Überheblich fehlt in der Aufzählung,2,1
61,"@tanit @larsklingbeil Laschet kann nichts, nicht mal eine vernünftige Rede halten. Er ist zu doof zum Lügen. Er hat keinen Anstand.  Er benimmt sich wie ein Elefant im Porzellanladen.",1,1
62,@hubertus_heil @OlafScholz @spdde Sind das die Bürger und der Teil der Arbeiterklasse die so besorgt um die Zustände der Toiletten für menstruierende Männer sind?🧐,2,1
63,"@RathTorsten @HeikoMaas Unterdrückung von vorgeblichen Beweismaterial durch die Bundesregierung, welche der Generalstastsanwalt zum Abgleich mit den befundfreien Proben in Russland forderte und Navalnyanwalt nicht klagen kann. Vom Schwarztee bis über Plasikflasche und Putinpalast ist alles widerlegt.",1,1
64,"@ClausStrunz @SchwarzeHexe5 @CDU @cducsubt @BILD Der Faschist, der Bayern in ein Internierungslager verwandelt? Ich weiß nicht ob die Sachsen davon begeistert wären. Die haben's teilweise gar nicht so mit dem Corona Kult",1,1
65,"@mohoemsen @SoniaMarima @fdp @FDPFraktionNRW Oder die Kinder könnten zu Hause vor der Schule einen Test machen, dann kann das positive Kind gleich zu Hause bleiben, statt sich mit der Klasse zum gemeinsamen PCR-Test zu treffen. Es fehlt hier einfach der Wille!",1,1
66,@HumanityIsRight @LorenzBeate @OlafScholz @spdde Eine Wahl ist eben ein proaktiver Vorgang. 75% hatten daher keine Lust auf einen Haken für Olaf. Und das gilt genauso für Armin. Beide haben auf ganzer Linie versagt.,1,1
67,@Markus_Soeder Wann beenden Sie die absurde Abstandsregelung für Windkraftanlagen? Sie persönlich leisten dem Klimawandel Vorschub und treffen nicht die notwendigen Entscheidungen.,1,1
68,"@ElmarWerner @BMG_Bund @jensspahn @AstraZeneca Es wurde auf 1000 Personen runtergerechnet, glaub es waren 25.000 oder 35.000 Personen beteiligt. Naja egal. Jemand hat sich über 70% aufgeregt und ich wollte nur darlegen, dass die Rechnung stimmt.",2,2
69,"@TiloJung @dieLinke Schlicht: Erschütternd! ...ich hätte mir ""kritische Auseinandersetzung"" mit Regierungshandeln mit mehr Sachkenntnis gewünscht. Was ist bloß aus der Qualität kritischer Debattenbeiträge der Partei @dieLinke zu Auslandseinsätzen der #Bundeswehr seit Paul Schäfer geworden?",1,1
70,"@Karl_Lauterbach Kann es sein, das ein kompletter logdown ab sofort bis 31.3.22 hilfreich und notwenidig waere ?",2,2
71,@kreuzer_gregor @larsklingbeil @OlafScholz Die Grünen sind in 11 von 16 Landesregierungen. In NRW haben die Grünen in den letzten 30 Jahren bis auf eine kurze Episode immer den Umweltminister gestellt - und dabei haben dann Grüne fleißig Tagebaue und Kohlekraftwerke genehmigt. Galigrü,2,2
72,@christoffe01 @Sketchnotes_kw @Michabloss @Ricarda_Lang @theiskbt Fragen kann man auch mit einem Satzzeichen beenden.,2,2
73,"@ClausStrunz @CDU @cducsubt @BILD Leck mich am arsch. Sie haben von Ostdeutschland tatsächlich keine Ahnung! Wenn ich Ihr vorgesetzter wäre, würde ich Sie wegen totaler Inkompetenz rausschmeißen!",1,1
74,"@Neumann29055959 @Markus__Lanz @Karl_Lauterbach @maithi_nk @Markus_Soeder Fand nicht, daß es Gesülze war. Hier gings ja nicht um absurde Dinge wie Apfelkuchen :), hier gings um handfesten fiesen Rassismus gegen schwarze Jungs im Nationaltrikot",1,1
75,"@kualii14 @sduwe @ndr @tagesschau @ver_jorg @DJVde @ArminLaschet Armin ist leider ein eierloses Würstchen, der lieber zu allem die Klappe hält. Wenn der Kanzler wird, dann nur wegen derer, die schon immer CDU gewählt haben.",1,1
76,"@petra_nies @Wissing @fdp Weil er möchte, dass die eigene Bevölkerung geimpft wird? Unverschämtheit! Wie kann er nur?",1,1
77,"@phoenix_de @ArminLaschet @CDU @OlafScholz @MichaKolster Da erinnert Laschet an den Schwarzen Ritter aus Ritter der Kokosnuss... ""einigen wir uns auf Unentschieden""..",2,2
78,@Gert_Woellmann @CSU @dieLinke Linke Logik. Was fehlt dabei ist nur die Logik.,2,1
79,"Habt ihr auch gesehen, das @c_lindner aufgeregt lächelnd rote Ohren kriegt, wenn er @ABaerbock zuhört, wie sie vertrauenbildende Dinge sagt? #allesistdrin #illner",2,2
80,"@Alice_Weidel zwangseinweisungen sind doch @AfD-konform.die schreit doch nach wegsperren von gefährdern.das virus kostet TÄGLICH mehr menschenleben,als alle opfer der von ihnen rassistisch unter generalverdacht gestellten refugees zusammen,da ist eine inhaftierung von covidleugnern korrekt.",1,1
81,"Alle Minister der @spdde sind besser, als alle anderen, egal wer, Hauptsache die Mitgliedschaft passt. Der @NowaboFM beweist gerade auf „besondere“ Art und Weise, warum es so wichtig ist, dass die @CDU die Regierung führt. Erst das Land, dann die Partei.  #Verantwortung",0,2
82,"@Karl_Lauterbach Und bei mir im Kreis mit einer Inzidenz über 100 greift ab Montag die ""Notbremse"" und Schulen bleiben auf. Was daran bitte eine Notbremse sein soll weiß ich nicht...",1,2
83,@JuliaKloeckner @Philipp_Amthor @jensspahn @peteraltmaier @andreasscheuer treten Sie aus Anstand und Moral heute zurück!,1,0
84,"@seerobe2000 @milan_nitzschke @ArminLaschet @CDU @fdp @fdpbt @frank_thelen Die #Gruenen ganz sicher auch nicht. Und? Danke für die Bestätigung, dass zelluläre Netze, virtuelle Kraftwerke eine regelungstechnische Herausforderung sind. Aber dadurch können auch Windräder eingespart werden.",0,2
85,@Vorstadtdistel @FranzBranntwe10 @Die_Gruenen Ich sehe keine Gefahr  https://t.co/s41awv49lx,2,2
86,"@CarenLay @Linksfraktion @dieLinke @linke_sachsen @b_riexinger @katjakipping @tagesschau @DMBMieterbund @MietenstoppDE @bizimkiez @23haeuser Wohnungsbau = Ländersache. Schauen Sie nach Berlin, das Desaster dort dürften Sie aber kennen, blenden es aber immer wieder aus wenn Sie solche Tweets absetzen.",1,1
87,"@m_csasan_nds @realMaskedDoc @jensspahn Es wurde von Anfang an klar kommuniziert, dass die Hausärzte BNT im Abstand von 6 Wochen impfen sollen, damit mehr Erstimpfungen gemacht werden können. Da wurde nichts plötzlich umgeändert.",2,2
88,@Karl_Lauterbach auch die Lehrkraefte werden nicht geimpft. Geht gar nicht! #bildungabersicher,1,1
89,@MichaelWoelki @Karl_Lauterbach Ok ok. Alles gut... sieht ja auch krass aus. Meine Kinder sind früher unserem Kater auch öfter amtlich an die Wäsche gegangen...,2,2
90,"@Karl_Lauterbach Ja - immer noch besser spät, als nicht!",2,2
91,@Karl_Lauterbach ihr wisst ja wo ihr euch die #WuFlu #Impfung hinstecken könnt,2,2
92,@MoNi_24680 @ABaerbock @ArminLaschet @OlafScholz Weil?,2,2
93,"@cem_oezdemir So, und wenn Sie heute sagen, dass mit den freiwilligen Selbstverpflichtungen der Industrie Schluss ist, will ich Taten sehen: pro Gramm Zucker ein Eurocent Steuern!",2,2
94,@lordvile7 @NurderK @Luisamneubauer @Wissing Ja wir importieren dann halt. Und EE werden ja auch sehr bald günstiger und dann wird der Ausbau auch schnell gehen,2,2
95,@KonstantinKuhle Schwarz-Gelb super? Aber Konstantin 🥺😂  https://t.co/iTl5AaVbAM,2,2
96,"Diese @cducsubt ist absolutes Kassengift, verdient! Sie hat nur eine geringe Chance, wenn sie zu ihren Grundüberzeugungen zurückkehrt. Und die sind mit Sicherheit nicht das idiotische Gerede, die @fdp sei eine ""AfD light"", siehe CDA.",1,1
97,"@EskenSaskia @cducsubt Ganz ehrlich, Saskia ihr habt gestern gegen die Menschenwürde etc. gestimmt. Da musst du dich dann auch nicht für Wolfgang Thierse schämen.Die #SPD wird sich selber erledigen, weil sie immer so voller Angst ist, Wähler:innenstimmen zu verlieren, wenn es um echten Fortschritt geht",1,1
98,@BorisNMoellers @c_lindner wer soll das sein?,2,2
99,@wiebkewinter @Wohli @Junge_Union @CDU @TKuban96 @PaulZiemiak @AntoniaNiecke @AnnaKreye @ArminLaschet @_FriedrichMerz @n_roettgen Wer nicht... 🤩,2,2
100,"@TobiasBringmann @TKuban96 @CDU Immer, wenn Du denkst es kann nicht mehr schlimmer werden, kommt die eigene Jugendorganisation um die Ecke und beweist Dir nachdrücklich das Gegenteil! Scheint eine der wenigen Gemeinsamkeiten aller Parteien zu sein. Scheint irgendwie pathologisch…",1,1
101,+++ @GrueneBundestag @Die_Gruenen WÄHLEN!!! +++  https://t.co/5f4QsJiFas,2,2
102,"@christophploss @spdde @Die_Gruenen @CDU Ihr glaubt noch immer an den Voodoomist  trickle down economics. Trickle up könnte funktionieren, trickle down zeigt seit Reagan, dass dieser Ansatz völliger Humbug ist",1,1
103,"@MarcoBuschmann @c_lindner Zum Glück koalieren sie mit der spd und den Grünen, das war genau das was ihre wähler wollten🤡🤡🤡🤡🤡🤡🤡🤡🤡",0,0
104,@ArminLaschet @AndrzejDuda @MorawieckiM @trzaskowski_ Mit Pis  überwinden Sie keine Gegensätze,2,2
105,"@jensspahn *könnte schützen   Komischerweise erkranken selbst geimpfte Menschen &amp; vorallem versterben Einige auch. Also war am Ende alles nur Propaganda &amp; Werbung zum Verkauf von Impfstoffen. Kein Wunder, denn vor paar Jahren ging die Impfquote für Impfstoffe zurück. Da kommt Corona gelegen",1,1
106,"@formalinkummer @faznet @Karl_Lauterbach Sorry, du Franggnbeidl....aber der CDUler - oder war's gar a CSUler (nu schlimmer) - hat's richtig gesagt: die Bremser, des is die FDP. Die SPD traut sich nur ned, dem Lindner sein Porsche zu klaun. I maan des symbolisch.😜",1,1
107,"@Karl_Lauterbach Herr Lauterbach, durch die Kostenpflichtigen Tests werden sich weniger Leute testen lassen und somit das Virus verbreiten. Die meisten Ungeimpften bleiben das nunmal auch. Nun ist der Punkt der Akzeptanz gekommen. Es wird nicht erneut so ein Jahr 2020 mit Corona geben.",2,2
108,"@wortaffin @jensspahn Ich hab mich bei 4 Ärzten letzte Woche auf die Warteliste setzen lassen. Nichts!!! Wahrscheinlich ist Oberbayern zu brav und kriegt weniger Impfstoff..,,",2,1
109,@MoNi_24680 @ArminLaschet @CDU Vielleicht sollte man sich mal mehr Intelligenz als rechtes Gedankengut aneignen.,1,1
110,@aggroEnte @JanSchipmann @GebbiGibson @cem_oezdemir @tagesschau Ente kann nicht lesen,2,2
111,"@jensspahn @ArminLaschet @CDU Ich bin seit 28 Jahren CDU-Mitglied. Was ich heute von einer Führungsperson der CDU erlebt habe, hat mich geschockt and angewidert. Sie haben auch @ArminLaschet damit keinen Gefallen getan.  Montag geht mein Kündigungsschreiben raus. Das war es! #RIPCDU #wegenmorgen",1,1
112,@DaFeid @jens_140081 @ver_linkt @HansL16 @spasskultur @Karl_Lauterbach @ronzheimer @RegSprecher @Markus_Soeder @_MartinHagen Das ist die offizielle Grafik der Stadt München   https://t.co/uwoQtEND6H,2,2
113,"@KonstantinNotz The wire, alle Staffeln",2,2
114,"@Markus_Soeder Schade, dass sie vor einem Rechtsruck, der nachweislich in der CDU/CSU stattfindet nicht solche Angst haben.",1,1
115,"@PaulZiemiak Es hätte ja sein können, dass man während ihrer Regierungszeit, Vorkehrungen und Maßnahmen hätte treffen können, dass die jetzige Situation gar nicht so gekommen wäre.",2,1
116,"@MapleLeaf1980 @DegowskiI @BGASoffizell @Hirnschluckauf @Karl_Lauterbach Diese Menschen machen nicht Platz wegen Auslastung, sie nehmen diesen Platz gar nicht in Anspruch weil, sie einfach ihre Ruhe haben wollen. Das Opfer dieser Menschen  kann kaum beziffert werden, da im Dunkeln.",1,1
117,"@Karl_Lauterbach Demenz kann auch durch das Maskentragen (Hyperkapnie durch Sauerstoff angel und CO2-Überschuss im Blut) ausgelöst werden. Was ihr den Kindern antut ist, meiner bescheidenen Meinung nach, ein #verbrechenandermenschlichkeit #angsttötet #COVID19",1,1
118,"@PaulZiemiak Das Gesundheitssystem ist schon sehr lange überlastet, das ist #Spahnsinn !  #NieMehrCDUCSU #CDUKorruption",1,1
119,@lisapaus @pappelfratze @ChrisKuehn_mdb @BMieterverein @DMBMieterbund @kaddinsky @Bettina_Jarasch @ABaerbock @Engel_Re @GoeringEckardt @KathaSchulze @DanyWagner_DA Da zeigt sich wieder einmal das wir in Deutschland doch fähige Politiker haben.,0,0
120,@GoeringEckardt @bernd0811 @GrueneBundestag @c_lindner @tagesthemen Hat er nicht,2,2
121,Damit dürfte das 40% Ziel der @CSU in Bayern wohl deutlich verfehlt werden. Dieser Mafia-Clan artige Club von Korruptionären  hat nicht mal 20% verdient. @Markus_Soeder wollte doch seinen Saustall aufräumen.  Warum muss das erst wieder die Nr. 4 tun.,1,1
122,"@kdwolkenflitzer @BaerchenBrumm @phoenix_de @Tino_Chrupalla @AfDimBundestag Hab ich großteils schon gehört. Sie aber offensichtlich nicht. Impfdurchbrüche haben Sie geflissentlich überhört. Ebenso die klaren Ansagen (lange genug schon auch von Drosten usw.), dass es KEINE ""Pandemie der Ungeimpften"" ist. Wir tragen ALLE auch zur regen Verbreitung bei.",1,1
123,"@_FriedrichMerz Ich verzichte gerne auf die Sozialleistungen, wenn der Staat im Gegenzug auf meine Steuern und gerne auch auf meine Rentenbeiträge verzichtet! Deal?",2,2
124,"@Roobarb16 @CDU @CDU_BW @connectcdu @jubw @Junge_Union @HagelManuel Schade eigentlich wollte nicht die AFD wählen, sehe aber kaum noch Alternativen.",1,1
125,"@Seepferdchen8 @Karl_Lauterbach Astra steht von Beginn an unter schlechtem Stern. Schlechtere Wirksamkeit, bei Ü55 kaum Daten, zu viele unterschiedliche Daten über Wirksamkeit dazu schlecht kommuniziert, keine Wirksamkeit bei #B1351 und jetzt noch die hohen Nebenwirkungen.  Wie soll man da Astra vertrauen ?",1,1
126,@martinkaisergp @dyfustic @ArminLaschet Nach meiner Ansicht ist Armin Laschet sinnlos.,1,1
127,@spdde Wann setzt sich @OlafScholz für die Sicherheit der Schulen ein?,2,2
128,@autobahnpartei @coolservativ @fdp @fdpsachsen @Die_Autolobby Wohin? Nach Amsterdam?,2,2
129,@argonerd @StBrandner @tagesschau Ich glaube nicht,2,2
130,"@PKaspryk @BirklWerner @jensspahn Auf deutsch...am Ende die Links auf die Seite des Gesundheitsministerium. Aber vermutlich keine vertrauenswürdige Quelle... Einfach mal fragen Cui bono? Und ein Herr Spahn ist schon lange keine Person, der man vertrauen kann.   https://t.co/rkTlDrgoWO",1,1
131,@CDU @vox_rindvieh @spdde @Die_Gruenen Darum wählen wir die #AFD.  https://t.co/ohBQLx9mgP,2,2
132,@Team_Stollberg @Lambsdorff @Die_Gruenen @spd @derspiegel @fdp Statistik aus 2017 mit letzter Messung in 2016? Untermauert Ihre Aussage nicht gerade nachhaltig.,1,1
133,"@stinktdr @AnneWillTalk @c_lindner @annewill @ManuelaSchwesig @jensspahn @ABaerbock @MelAmann @DasErste Jens Spahn erklärte es doch: Der Novemberlockdown 20 wurde zur Endlosschleife, weil er nur halbherzig war...und schwelend hohe Inzidenzien sind alles andere als gut für die Wirtschaft...",1,1
134,"@ElfieTalime @shengfui @jusos @gruene_jugend @dieLinke Wahlergebnisse können ja sich andere Gründe haben. Ich glaub eher deren größte Hypothek ist, dass die sich einfach nicht entscheiden können und sich 24/7 zoffen.  Aber klar ohne Wagenknecht ist ein Riesen Streitpunkt weg. Da habt ihr schon recht 🤔.",1,1
135,"@Calldere @jensspahn die Ausbreitung folgt angeblich der Gompertz Funktion, das ist nicht gleich exponentiell",2,2
136,"Dass @cducsubt ihr Problem nach rechtsaußen, ignoriert, akzeptiert, whatever ... geschenkt! Nichts anderes ist da zu erwarten.  Dass @Die_Gruenen sich aber nicht in der Lage sehen, die Union kategorisch als Koalitionspartnerin auszuschließen, geht einfach überhaupt nicht!",1,1
137,@Markus_Soeder Söder ist komplett gaga. Überreif für die Klapse. Gemeingefährlich dieser Mann.,1,1
138,Alter! Der @Karl_Lauterbach ist ja schon wieder in einer Talkshow. Ich dachte es endet jetzt und er hat zutun! #karllauterbach #annewill,1,2
139,@KathaSchulze Ob die oft Kopfweh hat?,2,2
